user_id,username,first_name,last_name,business_name,user_segment,region,city,registration_date,preferences
12,lucash43,Lucas,Henare,NULL,Individual,Canterbury,Selwyn,2014-03-31,"{""notifications"": {""email"": false, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace""], ""saved_searches"": 5}"
13,barfootthompson@trademe.co.nz,NULL,NULL,Barfoot & Thompson,Business,Auckland,Papakura,2022-06-07,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Motors""], ""saved_searches"": 3}"
14,michaelpageauck@hotmail.com,NULL,NULL,Michael Page Auckland,Power Seller,Auckland,North Shore,2008-02-01,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Marketplace"", ""Jobs""], ""saved_searches"": 11}"
15,olivia_539,NULL,NULL,NZ Motors Group,Power Seller,Nelson-Marlborough,Richmond,2009-02-01,"{""notifications"": {""email"": true, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace""], ""saved_searches"": 0}"
16,kiwitrader732,Manaia,O'Brien,NULL,Individual,Auckland,Waitakere,2004-02-26,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Jobs"", ""Motors""], ""saved_searches"": 0}"
17,james.te whare6@trademe.co.nz,NULL,NULL,Century 21,Power Seller,Otago,Wanaka,2005-08-23,"{""notifications"": {""email"": false, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Jobs"", ""Motors""], ""saved_searches"": 9}"
18,samuel.chen8@xtra.co.nz,Samuel,Chen,NULL,Individual,Wellington,Lower Hutt,2001-05-28,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Property""], ""saved_searches"": 0}"
19,harper.martin4@trademe.co.nz,Harper,Martin,NULL,Individual,Canterbury,Selwyn,2025-09-13,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property""], ""saved_searches"": 2}"
20,hemim@trademe.co.nz,Hemi,Mitchell,NULL,Individual,Auckland,Franklin,2013-11-21,"{""notifications"": {""email"": true, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Jobs"", ""Motors""], ""saved_searches"": 5}"
21,lucas_124,Lucas,Brown,NULL,Individual,Canterbury,Christchurch,2026-07-01,"{""notifications"": {""email"": true, ""push"": false, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Motors""], ""saved_searches"": 1}"
22,kiwiseller608,Wiremu,Tamati,NULL,Individual,Hawkes Bay,Hastings,2004-07-31,"{""notifications"": {""email"": true, ""push"": false, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Property""], ""saved_searches"": 0}"
23,sophiej@outlook.com,NULL,NULL,Turners Auctions,Business,Auckland,Franklin,2020-04-09,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Marketplace"", ""Motors""], ""saved_searches"": 12}"
24,kaia_21@outlook.com,Kaia,Henderson,NULL,Individual,Auckland,Auckland City,2007-03-20,"{""notifications"": {""email"": false, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Property""], ""saved_searches"": 5}"
25,connorw@icloud.com,Connor,Williams,NULL,Individual,Manawatu-Wanganui,Palmerston North,2014-07-30,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Marketplace"", ""Motors""], ""saved_searches"": 2}"
26,wiremu.clark@outlook.com,Wiremu,Clark,NULL,Individual,Auckland,Franklin,2007-03-05,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Property"", ""Jobs""], ""saved_searches"": 5}"
27,harcourts@icloud.com,NULL,NULL,Harcourts,Business,Taranaki,New Plymouth,2017-01-05,"{""notifications"": {""email"": true, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Property"", ""Marketplace""], ""saved_searches"": 12}"
28,grace_60@trademe.co.nz,Grace,Ngata,NULL,Individual,Bay of Plenty,Tauranga,2019-04-17,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace""], ""saved_searches"": 0}"
29,isla.kim8@yahoo.co.nz,NULL,NULL,NZ Post Marketplace,Power Seller,Auckland,Waitakere,2013-12-15,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Motors"", ""Property""], ""saved_searches"": 9}"
30,laurenr@hotmail.com,Lauren,Reid,NULL,Individual,Bay of Plenty,Mount Maunganui,2006-09-22,"{""notifications"": {""email"": false, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Jobs"", ""Motors""], ""saved_searches"": 0}"
31,nikau.patel@proton.me,Nikau,Patel,NULL,Individual,Auckland,North Shore,2011-08-12,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Marketplace"", ""Jobs""], ""saved_searches"": 4}"
32,danielt@yahoo.co.nz,Daniel,Thomas,NULL,Individual,Wellington,Kapiti Coast,2002-04-27,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors""], ""saved_searches"": 5}"
33,grace.o'brien@outlook.com,Grace,O'Brien,NULL,Individual,Wellington,Kapiti Coast,2010-11-07,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Marketplace"", ""Property""], ""saved_searches"": 5}"
34,hemi.walker@icloud.com,Hemi,Walker,NULL,Individual,Auckland,Auckland City,2014-02-24,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace""], ""saved_searches"": 5}"
35,thomas_986,Thomas,Wilson,NULL,Individual,Auckland,Manukau,2001-05-02,"{""notifications"": {""email"": false, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Jobs""], ""saved_searches"": 0}"
36,sophier@xtra.co.nz,Sophie,Reid,NULL,Individual,Canterbury,Timaru,2024-01-30,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Jobs""], ""saved_searches"": 3}"
37,lucast74,NULL,NULL,Seek NZ Recruiting,Power Seller,Canterbury,Waimakariri,2026-03-26,"{""notifications"": {""email"": false, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Motors""], ""saved_searches"": 15}"
38,maia.thomas6@gmail.com,Maia,Thomas,NULL,Individual,Auckland,Manukau,2003-08-23,"{""notifications"": {""email"": false, ""push"": false, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Property"", ""Motors""], ""saved_searches"": 1}"
39,turnersauctions@yahoo.co.nz,NULL,NULL,Turners Auctions,Power Seller,Auckland,Waitakere,2017-12-15,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Property"", ""Jobs""], ""saved_searches"": 8}"
40,charlotte.lee3@yahoo.co.nz,Charlotte,Lee,NULL,Individual,Auckland,Papakura,2010-08-31,"{""notifications"": {""email"": false, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Jobs"", ""Motors""], ""saved_searches"": 3}"
41,century21@hotmail.com,NULL,NULL,Century 21,Power Seller,Otago,Queenstown,2011-11-26,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Jobs"", ""Property""], ""saved_searches"": 15}"
42,kiwideals862,NULL,NULL,NZ Post Marketplace,Power Seller,Auckland,Manukau,2002-02-20,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Marketplace"", ""Motors""], ""saved_searches"": 2}"
43,aria.patel@proton.me,Aria,Patel,NULL,Individual,Auckland,Papakura,2016-09-19,"{""notifications"": {""email"": false, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Motors"", ""Property""], ""saved_searches"": 1}"
44,nz_kaia_49,Kaia,Murray,NULL,Individual,Bay of Plenty,Tauranga,2003-12-12,"{""notifications"": {""email"": false, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Property""], ""saved_searches"": 1}"
45,wiremu_35@hotmail.com,Wiremu,Te Whare,NULL,Individual,Bay of Plenty,Mount Maunganui,2017-02-03,"{""notifications"": {""email"": false, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property""], ""saved_searches"": 0}"
46,grace_94@yahoo.co.nz,Grace,van der Berg,NULL,Individual,Otago,Wanaka,2002-10-02,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Jobs"", ""Motors""], ""saved_searches"": 5}"
47,aroha_72@proton.me,Aroha,Campbell,NULL,Individual,Bay of Plenty,Mount Maunganui,2015-10-16,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors""], ""saved_searches"": 4}"
48,nz_manaia_73,Manaia,Singh,NULL,Individual,Northland,Whangarei,2001-02-20,"{""notifications"": {""email"": true, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace""], ""saved_searches"": 4}"
49,tane.murray@proton.me,NULL,NULL,Tech Resellers Ltd,Business,Waikato,Hamilton,2022-06-05,"{""notifications"": {""email"": true, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Marketplace"", ""Motors""], ""saved_searches"": 1}"
50,ryan_6@xtra.co.nz,Ryan,Reid,NULL,Individual,Canterbury,Timaru,2020-10-26,"{""notifications"": {""email"": true, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors""], ""saved_searches"": 3}"
51,ella.henderson@proton.me,Ella,Henderson,NULL,Individual,Canterbury,Timaru,2005-03-21,"{""notifications"": {""email"": true, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace""], ""saved_searches"": 3}"
52,anika.wiremu@trademe.co.nz,Anika,Wiremu,NULL,Individual,Canterbury,Ashburton,2014-10-04,"{""notifications"": {""email"": false, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Marketplace"", ""Motors""], ""saved_searches"": 2}"
53,farmsource@yahoo.co.nz,NULL,NULL,Farm Source,Business,Wellington,Wellington City,2020-07-15,"{""notifications"": {""email"": true, ""push"": false, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property""], ""saved_searches"": 5}"
54,laurent@gmail.com,NULL,NULL,Canterbury Car Sales,Business,Wellington,Wellington City,2009-04-07,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors""], ""saved_searches"": 1}"
55,kates66,NULL,NULL,Hudson Recruitment,Business,Otago,Oamaru,2004-02-23,"{""notifications"": {""email"": false, ""push"": false, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Motors"", ""Marketplace""], ""saved_searches"": 9}"
56,hemi_892,Hemi,Wang,NULL,Individual,Auckland,Auckland City,2007-11-03,"{""notifications"": {""email"": false, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Jobs""], ""saved_searches"": 1}"
57,jessica_933,Jessica,Lee,NULL,Individual,Canterbury,Timaru,2022-01-20,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace""], ""saved_searches"": 0}"
58,anika.wang@proton.me,Anika,Wang,NULL,Individual,Auckland,Manukau,2024-08-12,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Jobs""], ""saved_searches"": 1}"
59,daniel_2@yahoo.co.nz,Daniel,Brown,NULL,Individual,Waikato,Cambridge,2021-09-25,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Property""], ""saved_searches"": 0}"
60,ava.mcdonald8@trademe.co.nz,Ava,McDonald,NULL,Individual,Auckland,Franklin,2024-01-26,"{""notifications"": {""email"": false, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors""], ""saved_searches"": 3}"
61,aria_85@gmail.com,Aria,Mitchell,NULL,Individual,Northland,Kerikeri,2006-09-02,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Marketplace"", ""Jobs""], ""saved_searches"": 3}"
62,olivia.mcdonald@proton.me,Olivia,McDonald,NULL,Individual,Otago,Oamaru,2024-12-01,"{""notifications"": {""email"": true, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Property"", ""Marketplace""], ""saved_searches"": 3}"
63,hannah.thomas@outlook.com,Hannah,Thomas,NULL,Individual,Bay of Plenty,Rotorua,2009-10-02,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Motors"", ""Marketplace""], ""saved_searches"": 2}"
64,capitalcars@trademe.co.nz,NULL,NULL,Capital Cars,Business,Waikato,Rotorua,2021-02-27,"{""notifications"": {""email"": true, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Jobs""], ""saved_searches"": 0}"
65,nz_connor_34,Connor,O'Brien,NULL,Individual,Otago,Queenstown,2014-05-23,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace""], ""saved_searches"": 3}"
66,nz_ava_80,Ava,Scott,NULL,Individual,Auckland,Waitakere,2011-12-20,"{""notifications"": {""email"": true, ""push"": true, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Property""], ""saved_searches"": 3}"
67,benjamint29,Benjamin,Te Whare,NULL,Individual,Waikato,Cambridge,2019-02-09,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors""], ""saved_searches"": 4}"
68,roberthalfwelli@outlook.com,NULL,NULL,Robert Half Wellington,Business,Bay of Plenty,Mount Maunganui,2022-09-24,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Property""], ""saved_searches"": 0}"
69,kate.king1@trademe.co.nz,Kate,King,NULL,Individual,Canterbury,Timaru,2008-02-14,"{""notifications"": {""email"": false, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Marketplace""], ""saved_searches"": 2}"
70,jessica.te whare8@yahoo.co.nz,Jessica,Te Whare,NULL,Individual,Auckland,Papakura,2015-09-30,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Property"", ""Jobs""], ""saved_searches"": 4}"
71,daniels@gmail.com,Daniel,Scott,NULL,Individual,Auckland,North Shore,2007-05-18,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Motors"", ""Marketplace""], ""saved_searches"": 2}"
72,ellaw@proton.me,Ella,Wang,NULL,Individual,Wellington,Lower Hutt,2006-02-04,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs""], ""saved_searches"": 0}"
73,nz_william_13,William,Walker,NULL,Individual,Auckland,North Shore,2022-10-19,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Jobs"", ""Property""], ""saved_searches"": 0}"
74,kiwideals690,NULL,NULL,Tech Resellers Ltd,Business,Manawatu-Wanganui,Palmerston North,2002-09-20,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Jobs""], ""saved_searches"": 10}"
75,jackp59,Jack,Patel,NULL,Individual,Auckland,Auckland City,2017-11-18,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Marketplace"", ""Motors""], ""saved_searches"": 0}"
76,harbourcitymoto@outlook.com,NULL,NULL,Harbour City Motors,Business,Canterbury,Timaru,2021-02-25,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Property""], ""saved_searches"": 5}"
77,oliver.king7@hotmail.com,NULL,NULL,Mitre 10 Clearance,Business,Manawatu-Wanganui,Levin,2004-07-16,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Marketplace""], ""saved_searches"": 12}"
78,connorr@trademe.co.nz,Connor,Reid,NULL,Individual,Auckland,North Shore,2007-06-04,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Jobs"", ""Property""], ""saved_searches"": 5}"
79,techresellerslt@outlook.com,NULL,NULL,Tech Resellers Ltd,Business,Auckland,Manukau,2011-05-23,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Jobs"", ""Property""], ""saved_searches"": 6}"
80,nz_amelia_73,Amelia,O'Brien,NULL,Individual,Wellington,Porirua,2023-06-16,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Jobs"", ""Motors"", ""Property""], ""saved_searches"": 0}"
81,kaia.taylor@outlook.com,Kaia,Taylor,NULL,Individual,Canterbury,Timaru,2003-03-10,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Property""], ""saved_searches"": 5}"
82,ryan.anderson@outlook.com,Ryan,Anderson,NULL,Individual,Auckland,Manukau,2012-03-07,"{""notifications"": {""email"": true, ""push"": false, ""sms"": true}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Property"", ""Jobs""], ""saved_searches"": 0}"
83,joshuaw59,Joshua,Wang,NULL,Individual,Hawkes Bay,Havelock North,2008-01-05,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Marketplace""], ""saved_searches"": 2}"
84,kiwidealstradin@outlook.com,NULL,NULL,Kiwi Deals Trading,Business,Auckland,North Shore,2009-12-03,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Jobs""], ""saved_searches"": 0}"
85,ethan.brown6@gmail.com,Ethan,Brown,NULL,Individual,Auckland,Waitakere,2004-01-11,"{""notifications"": {""email"": false, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Jobs"", ""Marketplace""], ""saved_searches"": 3}"
86,firstnational@proton.me,NULL,NULL,First National,Business,Otago,Oamaru,2021-04-02,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Property"", ""Marketplace""], ""saved_searches"": 15}"
87,hemi.clark9@yahoo.co.nz,Hemi,Clark,NULL,Individual,Canterbury,Waimakariri,2012-06-06,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors""], ""saved_searches"": 1}"
88,randstadnz@icloud.com,NULL,NULL,Randstad NZ,Business,Auckland,Papakura,2012-07-16,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Motors""], ""saved_searches"": 11}"
89,raywhite@hotmail.com,NULL,NULL,Ray White,Power Seller,Wellington,Lower Hutt,2017-10-02,"{""notifications"": {""email"": true, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Jobs""], ""saved_searches"": 9}"
90,anikat@trademe.co.nz,Anika,Taylor,NULL,Individual,Taranaki,Stratford,2010-09-22,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Property"", ""Marketplace""], ""saved_searches"": 2}"
91,benjamin.murray@proton.me,Benjamin,Murray,NULL,Individual,Northland,Whangarei,2016-12-12,"{""notifications"": {""email"": false, ""push"": true, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Motors"", ""Jobs""], ""saved_searches"": 2}"
92,james_87@yahoo.co.nz,James,Wang,NULL,Individual,Bay of Plenty,Mount Maunganui,2018-05-11,"{""notifications"": {""email"": true, ""push"": false, ""sms"": false}, ""display"": {""currency"": ""NZD"", ""distance_unit"": ""km""}, ""interests"": [""Marketplace"", ""Jobs"", ""Motors""], ""saved_searches"": 4}"
